2026-06-16 00:04:53.899 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-16 12:48:27.429 [] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-16 12:48:27.436 [] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-16 12:48:27.439 [] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-16 12:48:27.449 [] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781632107446 with initial instances count: 3
2026-06-16 12:48:27.457 [] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application ORDEN-MS with eureka with status UP
2026-06-16 12:48:27.464 [] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781632107464, current=UP, previous=STARTING]
2026-06-16 12:48:27.471 [] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19051"]
2026-06-16 12:48:27.471 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/host.docker.internal:orden-ms:19051: registering service...
2026-06-16 12:48:27.527 [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 19051 (http) with context path '/'
2026-06-16 12:48:27.531 [] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 19051
2026-06-16 12:48:27.596 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/host.docker.internal:orden-ms:19051 - registration status: 204
2026-06-16 12:48:27.978 [] INFO  com.upeu.orden.OrdenApplication - Started OrdenApplication in 22.58 seconds (process running for 23.953)
2026-06-16 12:48:28.120 [] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-06-16 12:48:28.121 [] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-06-16 12:48:28.352 [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 12:48:28.352 [] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 12:48:28.363 [] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2026-06-16 12:53:26.314 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 12:58:26.321 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:03:26.341 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:15:38.781 [] INFO  com.upeu.orden.OrdenApplication - Starting OrdenApplication using Java 17.0.12 with PID 29776 (D:\MS1\ProyectoGrupal\services\orden-ms\target\classes started by ASUS in D:\MS1\ProyectoGrupal\services\orden-ms)
2026-06-16 13:15:38.812 [] DEBUG com.upeu.orden.OrdenApplication - Running with Spring Boot v3.5.13, Spring v6.2.17
2026-06-16 13:15:38.824 [] INFO  com.upeu.orden.OrdenApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-16 13:15:39.241 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:7071
2026-06-16 13:15:39.255 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=orden-ms, profiles=[dev], label=null, version=null, state=null
2026-06-16 13:15:39.275 [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 13:15:39.287 [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 13:15:46.553 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-16 13:15:47.219 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 614 ms. Found 1 JPA repository interface.
2026-06-16 13:15:48.620 [] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=d389b0b5-adb1-3fdf-bc72-6e354eb3ba64
2026-06-16 13:15:51.238 [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 19051 (http)
2026-06-16 13:15:51.307 [] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19051"]
2026-06-16 13:15:51.325 [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 13:15:51.335 [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.53]
2026-06-16 13:15:51.745 [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 13:15:51.746 [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 12459 ms
2026-06-16 13:15:57.922 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-16 13:15:59.186 [] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@287bba2f
2026-06-16 13:15:59.201 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-16 13:15:59.449 [] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3397/db_orden?useSSL=false&serverTimezone=America/Lima&allowPublicKeyRetrieval=true (MySQL 8.4)
2026-06-16 13:15:59.979 [] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: MySQL 8.4 is newer than this version of Flyway and support has not been tested. The latest supported version of MySQL is 8.1.
2026-06-16 13:16:00.262 [] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.227s)
2026-06-16 13:16:00.405 [] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `db_orden`: 1
2026-06-16 13:16:00.429 [] INFO  o.f.core.internal.command.DbMigrate - Schema `db_orden` is up to date. No migration necessary.
2026-06-16 13:16:03.296 [] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-16 13:16:07.454 [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-16 13:16:10.484 [] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-16 13:16:13.895 [] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoints beneath base path '/actuator'
2026-06-16 13:16:17.701 [] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2026-06-16 13:16:18.521 [] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2026-06-16 13:16:19.131 [] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-16 13:16:19.428 [] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-16 13:16:19.494 [] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-16 13:16:19.502 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:16:19.533 [] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-16 13:16:19.534 [] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-16 13:16:19.535 [] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-16 13:16:19.537 [] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-16 13:16:19.538 [] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-06-16 13:16:19.540 [] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-16 13:16:19.541 [] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-16 13:16:21.151 [] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-16 13:16:21.151 [] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-16 13:16:21.172 [] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-16 13:16:21.179 [] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781633781179 with initial instances count: 4
2026-06-16 13:16:21.185 [] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application ORDEN-MS with eureka with status UP
2026-06-16 13:16:21.185 [] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781633781185, current=UP, previous=STARTING]
2026-06-16 13:16:21.200 [] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19051"]
2026-06-16 13:16:21.200 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/WERNER:orden-ms:19051: registering service...
2026-06-16 13:16:21.268 [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 19051 (http) with context path '/'
2026-06-16 13:16:21.274 [] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 19051
2026-06-16 13:16:21.297 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/WERNER:orden-ms:19051 - registration status: 204
2026-06-16 13:16:22.428 [] INFO  com.upeu.orden.OrdenApplication - Started OrdenApplication in 45.562 seconds (process running for 46.622)
2026-06-16 13:16:22.551 [] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-06-16 13:16:22.551 [] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-06-16 13:16:28.371 [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 13:16:28.381 [] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 13:16:28.385 [] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-06-16 13:21:19.547 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:26:19.562 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:31:19.522 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:36:19.469 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:41:19.406 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 13:41:42.051 [] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 15 class path changes (0 additions, 3 deletions, 12 modifications)
2026-06-16 13:41:42.076 [] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application ORDEN-MS with eureka with status DOWN
2026-06-16 13:41:42.081 [] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781635302080, current=DOWN, previous=UP]
2026-06-16 13:41:42.084 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/WERNER:orden-ms:19051: registering service...
2026-06-16 13:41:42.101 [] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-16 13:41:42.124 [] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-19051"]
2026-06-16 13:41:42.153 [] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_ORDEN-MS/WERNER:orden-ms:19051 - registration status: 204
2026-06-16 13:41:45.454 [] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-16 13:41:45.474 [] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-19051"]
2026-06-16 13:41:45.568 [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-06-16 13:41:45.615 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-06-16 13:41:45.679 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-06-16 13:41:45.703 [] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2026-06-16 13:41:48.743 [] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
2026-06-16 13:41:48.799 [] INFO  o.a.h.c.h.i.c.HttpRequestRetryExec - ex-0000000104 recoverable I/O exception (org.apache.hc.core5.http.NoHttpResponseException) caught when sending request to http://localhost:7081;request will be automatically re-executed in 0 MILLISECONDS (exec count 2)
2026-06-16 13:41:48.865 [] INFO  c.n.d.s.t.d.RedirectingEurekaHttpClient - Request execution error. endpoint=DefaultEndpoint{ serviceUrl='http://localhost:7081/eureka/} exception=I/O error on DELETE request for "http://localhost:7081/eureka/apps/ORDEN-MS/WERNER:orden-ms:19051": Se ha anulado una conexión establecida por el software en su equipo host.
org.springframework.web.client.ResourceAccessException: I/O error on DELETE request for "http://localhost:7081/eureka/apps/ORDEN-MS/WERNER:orden-ms:19051": Se ha anulado una conexión establecida por el software en su equipo host.
	at org.springframework.web.client.RestTemplate.createResourceAccessException(RestTemplate.java:926)
	at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:906)
	at org.springframework.web.client.RestTemplate.execute(RestTemplate.java:841)
	at org.springframework.web.client.RestTemplate.exchange(RestTemplate.java:702)
	at org.springframework.cloud.netflix.eureka.http.RestTemplateEurekaHttpClient.cancel(RestTemplateEurekaHttpClient.java:100)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator$2.execute(EurekaHttpClientDecorator.java:74)
	at com.netflix.discovery.shared.transport.decorator.RedirectingEurekaHttpClient.execute(RedirectingEurekaHttpClient.java:90)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator.cancel(EurekaHttpClientDecorator.java:71)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator$2.execute(EurekaHttpClientDecorator.java:74)
	at com.netflix.discovery.shared.transport.decorator.RetryableEurekaHttpClient.execute(RetryableEurekaHttpClient.java:120)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator.cancel(EurekaHttpClientDecorator.java:71)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator$2.execute(EurekaHttpClientDecorator.java:74)
	at com.netflix.discovery.shared.transport.decorator.SessionedEurekaHttpClient.execute(SessionedEurekaHttpClient.java:76)
	at com.netflix.discovery.shared.transport.decorator.EurekaHttpClientDecorator.cancel(EurekaHttpClientDecorator.java:71)
	at com.netflix.discovery.DiscoveryClient.unregister(DiscoveryClient.java:934)
	at com.netflix.discovery.DiscoveryClient.shutdown(DiscoveryClient.java:915)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMethod.invoke(InitDestroyAnnotationBeanPostProcessor.java:457)
	at org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata.invokeDestroyMethods(InitDestroyAnnotationBeanPostProcessor.java:415)
	at org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor.postProcessBeforeDestruction(InitDestroyAnnotationBeanPostProcessor.java:239)
	at org.springframework.beans.factory.support.DisposableBeanAdapter.destroy(DisposableBeanAdapter.java:203)
	at org.springframework.beans.factory.support.DisposableBeanAdapter.run(DisposableBeanAdapter.java:196)
	at org.springframework.cloud.context.scope.GenericScope$BeanLifecycleWrapper.destroy(GenericScope.java:387)
	at org.springframework.cloud.context.scope.GenericScope.destroy(GenericScope.java:134)
